Diff_Out_Transient_Settling X,Diff_Out_Transient_Settling Y
0,2.846611835138901e-13
9.999999999999999e-12,2.846611835138901e-13
2e-11,2.846611835138901e-13
3e-11,2.847722058163527e-13
4e-11,2.848832281188152e-13
5e-11,2.849942504212777e-13
6e-11,2.849942504212777e-13
7e-11,2.848832281188152e-13
8.000000000000001e-11,2.849942504212777e-13
9.000000000000001e-11,2.851052727237402e-13
1e-10,2.852162950262027e-13
1.1e-10,2.851052727237402e-13
1.2e-10,2.852162950262027e-13
1.3e-10,2.853273173286652e-13
1.4e-10,2.854383396311277e-13
1.5e-10,2.852162950262027e-13
1.6e-10,2.851052727237402e-13
1.7e-10,2.851052727237402e-13
1.8e-10,2.851052727237402e-13
1.9e-10,2.849942504212777e-13
2e-10,2.846611835138901e-13
2.099999999999999e-10,2.846611835138901e-13
2.199999999999999e-10,2.844391389089651e-13
2.299999999999999e-10,2.844391389089651e-13
2.399999999999999e-10,2.846611835138901e-13
2.5e-10,2.845501612114276e-13
2.6e-10,2.845501612114276e-13
2.7e-10,2.846611835138901e-13
2.8e-10,2.846611835138901e-13
2.9e-10,2.845501612114276e-13
3e-10,2.843281166065026e-13
3.100000000000001e-10,2.842170943040401e-13
3.200000000000001e-10,2.842170943040401e-13
3.300000000000001e-10,2.841060720015776e-13
3.400000000000001e-10,2.842170943040401e-13
3.500000000000001e-10,2.842170943040401e-13
3.600000000000002e-10,2.841060720015776e-13
3.700000000000002e-10,2.843281166065026e-13
3.800000000000002e-10,2.843281166065026e-13
3.900000000000002e-10,2.842170943040401e-13
4.000000000000002e-10,2.843281166065026e-13
4.100000000000002e-10,2.843281166065026e-13
4.200000000000003e-10,2.843281166065026e-13
4.300000000000003e-10,2.843281166065026e-13
4.400000000000003e-10,2.844391389089651e-13
4.500000000000003e-10,2.846611835138901e-13
4.600000000000003e-10,2.846611835138901e-13
4.700000000000003e-10,2.845501612114276e-13
4.800000000000003e-10,2.843281166065026e-13
4.900000000000003e-10,2.843281166065026e-13
5.000000000000002e-10,2.844391389089651e-13
5.100000000000002e-10,2.846611835138901e-13
