Input_Referred_Noise_PSD X,Input_Referred_Noise_PSD Y
1000,1.847516769169513e-13
1059.253725177289,1.745463099222831e-13
1122.018454301964,1.648950470496656e-13
1188.502227437019,1.557695067679446e-13
1258.925411794168,1.471424917929984e-13
1333.521432163324,1.389879840520998e-13
1412.537544622755,1.312811308972097e-13
1496.235656094434,1.239982243282207e-13
1584.893192461114,1.171166747216275e-13
1678.804018122561,1.106149803332447e-13
1778.279410038923,1.044726936409498e-13
1883.649089489801,9.867038542672087e-14
1995.26231496888,9.318960733394872e-14
2113.489039836647,8.801285352077684e-14
2238.72113856834,8.312352190808751e-14
2371.373705661656,7.850587543300678e-14
2511.886431509581,7.414500363925967e-14
2660.72505979881,7.002678486149314e-14
2818.382931264455,6.613784921390184e-14
2985.382618917961,6.246554253752893e-14
3162.27766016838,5.899789142562379e-14
3349.654391578278,5.572356941245289e-14
3548.133892335756,5.263186438373704e-14
3758.374042884443,4.971264724451815e-14
3981.071705534974,4.695634186308465e-14
4216.965034285824,4.435389629335724e-14
4466.835921509632,4.189675526807091e-14
4731.512589614807,3.95768339440419e-14
5011.872336272725,3.738649287548264e-14
5308.844442309886,3.531851418368928e-14
5623.413251903494,3.336607888839008e-14
5956.621435290108,3.152274536323776e-14
6309.573444801936,2.97824288745085e-14
6683.43917568615,2.813938216222635e-14
7079.457843841383,2.658817702143697e-14
7498.942093324562,2.512368684086503e-14
7943.282347242819,2.374107005751972e-14
8413.951416451955,2.243575448511805e-14
8912.509381337461,2.120342247610719e-14
9440.60876285924,2.003999687676745e-14
10000.00000000001,1.894162773778064e-14
10592.53725177289,1.790467974192412e-14
11220.18454301964,1.692572031350351e-14
11885.02227437019,1.600150837454704e-14
12589.25411794168,1.512898371454967e-14
13335.21432163325,1.430525694187035e-14
14125.37544622755,1.352759998633076e-14
14962.35656094434,1.279343712393731e-14
15848.93192461114,1.210033649582151e-14
16788.04018122561,1.144600209520878e-14
17782.79410038924,1.082826619708623e-14
18836.49089489802,1.02450822067495e-14
19952.62314968881,9.694517904504856e-15
21134.89039836648,9.174749064994735e-15
22387.21138568341,8.684053430703847e-15
23713.73705661657,8.220805020288021e-15
25118.86431509582,7.783468753280871e-15
26607.25059798811,7.370595373925919e-15
28183.82931264456,6.980816657538133e-15
29853.82618917962,6.612840883863297e-15
31622.77660168382,6.265448562691972e-15
33496.54391578279,5.937488397739823e-15
35481.33892335757,5.627873475620702e-15
37583.74042884444,5.335577667422566e-15
39810.71705534976,5.05963223108423e-15
42169.65034285826,4.799122603417245e-15
44668.35921509634,4.553185371237464e-15
47315.12589614809,4.321005411631107e-15
50118.72336272727,4.101813191949e-15
53088.44442309887,3.894882220626728e-15
56234.13251903495,3.699526640433106e-15
59566.21435290109,3.515098956199383e-15
63095.73444801938,3.340987889535844e-15
66834.39175686151,3.176616353449238e-15
70794.57843841385,3.021439540170311e-15
74989.42093324565,2.874943115872632e-15
79432.82347242822,2.736641516315229e-15
84139.51416451958,2.606076337773082e-15
89125.09381337464,2.482814817932976e-15
94406.08762859243,2.366448401729812e-15
100000.0000000001,2.256591387376703e-15
105925.372517729,2.152879648108834e-15
112201.8454301965,2.054969425408989e-15
118850.222743702,1.962536189720038e-15
125892.5411794169,1.875273564871932e-15
133352.1432163326,1.792892312661318e-15
141253.7544622756,1.715119374221462e-15
149623.5656094435,1.641696965006501e-15
158489.3192461116,1.572381720393155e-15
167880.4018122563,1.5069438890689e-15
177827.9410038925,1.445166571534678e-15
188364.9089489803,1.386845001199263e-15
199526.2314968882,1.331785865683229e-15
211348.903983665,1.279806666083746e-15
223872.1138568343,1.230735112077066e-15
237137.3705661659,1.184408550854228e-15
251188.6431509584,1.140673427997534e-15
266072.5059798813,1.099384778511048e-15
281838.2931264458,1.060405746318504e-15
298538.2618917964,1.023607130635858e-15
316227.7660168384,9.888669577151498e-16
334965.4391578281,9.560700765402022e-16
354813.389233576,9.251077771339097e-16
375837.4042884447,8.95877430211901e-16
398107.1705534979,8.68282146988177e-16
421696.5034285829,8.422304580046257e-16
446683.5921509638,8.176360099199357e-16
473151.2589614813,7.944172792523185e-16
