Diff_Out_Magnitude X,Diff_Out_Magnitude Y
1000,-50.80578266684736
1059.253725177289,-50.81123178691379
1122.018454301964,-50.81734039901431
1188.502227437019,-50.82418175612398
1258.925411794168,-50.83184849951715
1333.521432163324,-50.84042998954344
1412.537544622755,-50.85004044868197
1496.235656094434,-50.860794160741
1584.893192461114,-50.87283394243816
1678.804018122561,-50.8863007381099
1778.279410038923,-50.90136222912386
1883.649089489801,-50.91819977487282
1995.26231496888,-50.93701452630241
2113.489039836647,-50.95802567173516
2238.72113856834,-50.98148122055831
2371.373705661656,-51.00764860573331
2511.886431509581,-51.03682303196575
2660.72505979881,-51.06932357967187
2818.382931264455,-51.10550494005036
2985.382618917961,-51.1457451907545
3162.27766016838,-51.19045267755025
3349.654391578278,-51.24007451013811
3548.133892335756,-51.2950836294791
3758.374042884443,-51.35598491340172
3981.071705534974,-51.42331913225766
4216.965034285824,-51.49763593669518
4466.835921509632,-51.57953576107646
4731.512589614807,-51.66962845316431
5011.872336272725,-51.76853175430796
5308.844442309886,-51.87688263347471
5623.413251903494,-51.99531526616263
5956.621435290108,-52.12446084938797
6309.573444801936,-52.26492828073071
6683.43917568615,-52.41729551504094
7079.457843841383,-52.58211769974609
7498.942093324562,-52.75988366450004
7943.282347242819,-52.95103145959899
8413.951416451955,-53.15591996054725
8912.509381337461,-53.37483950082777
9440.60876285924,-53.60798685040941
10000.00000000001,-53.85546272347933
10592.53725177289,-54.11728442170899
11220.18454301964,-54.39336139213609
11885.02227437019,-54.68352679486553
12589.25411794168,-54.98750585735135
13335.21432163325,-55.30494930280916
14125.37544622755,-55.63544367158691
14962.35656094434,-55.97849186389215
15848.93192461114,-56.33355715258084
16788.04018122561,-56.70005946908507
17782.79410038924,-57.07737933692839
18836.49089489802,-57.46487944407092
19952.62314968881,-57.86191349957028
21134.89039836648,-58.26783401867221
22387.21138568341,-58.68199155911225
23713.73705661657,-59.10375240228684
25118.86431509582,-59.53250181461897
26607.25059798811,-59.96764574735094
28183.82931264456,-60.40860978857943
29853.82618917962,-60.85484708293806
31622.77660168382,-61.30584662816172
33496.54391578279,-61.76112238911456
35481.33892335757,-62.22019998719861
37583.74042884444,-62.68265268948661
39810.71705534976,-63.14806925251932
42169.65034285826,-63.61605735676515
44668.35921509634,-64.08625877244796
47315.12589614809,-64.55831827542752
50118.72336272727,-65.03191031251782
53088.44442309887,-65.50671149727793
56234.13251903495,-65.98242492290426
59566.21435290109,-66.45874455825093
63095.73444801938,-66.93538394916384
66834.39175686151,-67.41204972227068
70794.57843841385,-67.88845896068432
74989.42093324565,-68.36431694183618
79432.82347242822,-68.83932794731874
84139.51416451958,-69.31319164693488
89125.09381337464,-69.78558391431801
94406.08762859243,-70.25618475945046
100000.0000000001,-70.72464281010969
105925.372517729,-71.19059416129809
112201.8454301965,-71.6536584895954
118850.222743702,-72.11342617644566
125892.5411794169,-72.56945670568426
133352.1432163326,-73.02130198773382
141253.7544622756,-73.46846024633541
149623.5656094435,-73.91041829562482
158489.3192461116,-74.34663325015498
167880.4018122563,-74.77652856318248
177827.9410038925,-75.19949554449514
188364.9089489803,-75.61491454855913
199526.2314968882,-76.02214118784399
211348.903983665,-76.42050312248494
223872.1138568343,-76.8093314190663
237137.3705661659,-77.18795568397111
251188.6431509584,-77.5556967760273
266072.5059798813,-77.91189871008557
281838.2931264458,-78.25592940130525
298538.2618917964,-78.58719164529435
316227.7660168384,-78.90513014762718
334965.4391578281,-79.20924857943164
354813.389233576,-79.49911195482878
375837.4042884447,-79.77436059543054
398107.1705534979,-80.03471042379886
421696.5034285829,-80.27996458331407
446683.5921509638,-80.51001352857057
473151.2589614813,-80.72482471852368
501187.2336272731,-80.92445423765446
530884.4442309892,-81.10903189695877
562341.3251903499,-81.27875522501577
595662.1435290114,-81.43388067122683
630957.3444801943,-81.57471458119147
668343.9175686156,-81.70159355531275
707945.784384139,-81.81488153077129
749894.2093324569,-81.91494870304651
794328.2347242826,-82.00216600200491
841395.1416451962,-82.07688684960574
891250.9381337467,-82.13944059560706
944060.8762859247,-82.19012472978409
1000000.000000001,-82.22918857713483
1059253.72517729,-82.25683660440494
1122018.454301965,-82.27321670008565
1188502.22743702,-82.2784181001947
1258925.411794169,-82.27246890293985
1333521.432163326,-82.25533633133857
1412537.544622756,-82.22692599803102
1496235.656094436,-82.18708561658546
1584893.192461116,-82.13560799332426
1678804.018122563,-82.07223614325744
1778279.410038925,-81.99667214713202
1883649.089489803,-81.90858270736273
1995262.314968882,-81.80760986830344
2113489.03983665,-81.69338328237437
2238721.138568343,-81.56552972547944
2371373.705661659,-81.42368592818403
2511886.431509584,-81.2675128755935
2660725.059798813,-81.09670695107545
2818382.931264458,-80.91101255180783
2985382.618917964,-80.71023344980411
3162277.660168384,-80.49424204338776
3349654.391578281,-80.26298729806217
3548133.892335759,-80.01650046547437
3758374.042884447,-79.7548977967421
3981071.705534978,-79.478381279083
4216965.034285828,-79.18723669623677
4466835.921509637,-78.88182904267099
4731512.589614811,-78.56259619006995
5011872.33627273,-78.23004126254656
5308844.442309891,-77.88472269476436
5623413.251903499,-77.52724458002007
5956621.435290113,-77.15824628248573
6309573.444801942,-76.77839213824213
6683439.175686155,-76.38836178631315
7079457.843841389,-75.98884107136246
7498942.093324569,-75.58051408278415
7943282.347242827,-75.16405613900508
8413951.416451963,-74.74012794008551
8912509.381337468,-74.30937089291392
9440608.762859248,-73.87240347003063
10000000.00000001,-73.42981857015273
10592537.2517729,-72.98218180093868
11220184.54301965,-72.53003056645409
11885022.2743702,-72.07387378400662
12589254.11794169,-71.61419223500866
13335214.32163326,-71.15143936113395
14125375.44622757,-70.6860424352101
14962356.56094436,-70.21840405329814
15848931.92461116,-69.74890382301884
16788040.18122563,-69.27790019460548
17782794.10038926,-68.80573235454322
18836490.89489803,-68.33272210377771
19952623.14968883,-67.8591756303053
21134890.3983665,-67.38538509646168
22387211.38568343,-66.91162993098726
23713737.05661659,-66.4381777181282
25118864.31509584,-65.96528455226132
26607250.59798814,-65.49319471343479
28183829.31264459,-65.02213949364807
29853826.18917965,-64.55233498576925
31622776.60168385,-64.08397861615951
33496543.91578282,-63.61724417322129
35481338.92335761,-63.15227505561182
37583740.42884448,-62.68917541993616
39810717.0553498,-62.22799887236776
42169650.3428583,-61.76873429840748
44668359.21509639,-61.31128836732749
47315125.89614813,-60.85546417789608
50118723.36272731,-60.40093541871418
53088444.42309893,-59.94721528875728
56234132.51903501,-59.49361924444062
59566214.35290115,-59.03922037795169
63095734.44801944,-58.58279584926591
66834391.75686158,-58.12276223175501
70794578.43841392,-57.65709680646799
74989420.93324572,-57.18324063142524
79432823.47242829,-56.69797745485779
84139514.16451965,-56.19727999187808
89125093.81337471,-55.67611141871105
94406087.62859251,-55.1281647446951
100000000.0000002,-54.54551560842766
105925372.5177291,-53.91815511752019
112201845.4301965,-53.23336090558272
118850222.7437021,-52.47486690903835
125892541.1794169,-51.62184356952686
133352143.2163326,-50.64793579383312
141253754.4622757,-49.52151303855511
149623565.6094436,-48.21164878394161
158489319.2461116,-46.71650828852919
167880401.8122563,-45.1680691592322
177827941.0038926,-44.09245159528857
188364908.9489804,-44.40553212451746
199526231.4968883,-46.19782908900979
211348903.983665,-48.57227234299444
223872113.8568344,-50.93094464045099
237137370.566166,-53.10788684780099
251188643.1509585,-55.09557090802471
266072505.9798815,-56.92313271306879
281838293.1264459,-58.62232825747888
298538261.8917965,-60.22004787796508
316227766.0168386,-61.73771970444818
334965439.1578283,-63.19222974941431
354813389.2335762,-64.59697180381484
375837404.2884449,-65.96271736617624
398107170.5534981,-67.29827810986896
421696503.4285831,-68.61099723914943
446683592.1509641,-69.9071114342786
473151258.9614815,-71.19201687949405
501187233.6272734,-72.47046330338856
530884444.2309895,-73.74669179340083
562341325.1903503,-75.02452546996618
595662143.5290117,-76.30741633890023
630957344.4801946,-77.5984460608741
668343917.568616,-78.9002722402219
707945784.3841394,-80.21500440890888
749894209.3324574,-81.543984568231
794328234.7242832,-82.88743592602492
841395141.6451969,-84.24393205059374
891250938.1337475,-85.60963319178427
944060876.2859254,-86.97725276264296
1000000000.000002,-88.3347880641187
1059253725.177291,-89.66422988558742
1122018454.301966,-90.94080794709882
1188502227.437021,-92.13378040260639
1258925411.79417,-93.20997515049206
1333521432.163327,-94.14050454005925
1412537544.622757,-94.90889624006533
1496235656.094437,-95.51665467897215
1584893192.461117,-95.98278052552561
1678804018.122564,-96.33756004780065
1778279410.038927,-96.61440655284866
1883649089.489805,-96.84353197369938
1995262314.968884,-97.04884205121117
2113489039.836652,-97.24743708204926
2238721138.568345,-97.450498855383
2371373705.661661,-97.66461712093661
2511886431.509586,-97.89305686238143
2660725059.798816,-98.13678594879833
2818382931.26446,-98.3952439389748
2985382618.917966,-98.6668933381017
3162277660.168386,-98.94960644037027
3349654391.578284,-99.24093427468034
3548133892.335763,-99.53829312224056
3758374042.88445,-99.83909390172568
3981071705.534981,-100.1408318436925
4216965034.285832,-100.4411482465499
4466835921.509642,-100.7378722505274
4731512589.614816,-101.0290479850372
5011872336.272735,-101.312950739312
5308844442.309896,-101.5880946842323
5623413251.903504,-101.8532339396469
5956621435.290119,-102.1073583024525
6309573444.801948,-102.3496846450762
6683439175.686162,-102.5796448019271
7079457843.841396,-102.7968706489913
7498942093.324576,-103.0011770169545
7943282347.242834,-103.1925430429056
8413951416.451971,-103.3710925418729
8912509381.337477,-103.5370739531993
9440608762.859257,-103.6908403825715
10000000000,-103.8328302109962
