Diff_Out_Magnitude X,Diff_Out_Magnitude Y
1000,-51.25803586146705
1059.253725177289,-51.2634866150323
1122.018454301964,-51.26959251287311
1188.502227437019,-51.27643584528143
1258.925411794168,-51.28409913881841
1333.521432163324,-51.29268147141556
1412.537544622755,-51.30229080821937
1496.235656094434,-51.31304998344558
1584.893192461114,-51.32508547134127
1678.804018122561,-51.33855248905566
1778.279410038923,-51.35361311216006
1883.649089489801,-51.37045024588484
1995.26231496888,-51.38926240092967
2113.489039836647,-51.41027457310334
2238.72113856834,-51.43373261180842
2371.373705661656,-51.45989518140284
2511.886431509581,-51.48907187295224
2660.72505979881,-51.52157086909797
2818.382931264455,-51.55775165084464
2985.382618917961,-51.59798834171599
3162.27766016838,-51.64269446890194
3349.654391578278,-51.69231363252709
3548.133892335756,-51.74732410969672
3758.374042884443,-51.8082222004833
3981.071705534974,-51.8755495122591
4216.965034285824,-51.94986907559713
4466.835921509632,-52.03176584529931
4731.512589614807,-52.12185613072202
5011.872336272725,-52.22075415194509
5308.844442309886,-52.32909974058795
5623.413251903494,-52.44753474032812
5956.621435290108,-52.57667253827292
6309.573444801936,-52.71713303489317
6683.43917568615,-52.86949443943869
7079.457843841383,-53.03431006296066
7498.942093324562,-53.2120676728575
7943.282347242819,-53.40320841761542
8413.951416451955,-53.60808700425906
8912.509381337461,-53.82699546820107
9440.60876285924,-54.06012704893102
10000.00000000001,-54.30759491134755
10592.53725177289,-54.56939771739302
11220.18454301964,-54.84545946009615
11885.02227437019,-55.13560449453807
12589.25411794168,-55.4395613397776
13335.21432163325,-55.75698370163262
14125.37544622755,-56.08744686012636
14962.35656094434,-56.43046331853138
15848.93192461114,-56.78550131175611
16788.04018122561,-57.15195997714579
17782.79410038924,-57.52923780604159
18836.49089489802,-57.91668830078392
19952.62314968881,-58.31367323411358
21134.89039836648,-58.71952812152653
22387.21138568341,-59.13361788132249
23713.73705661657,-59.5553028039904
25118.86431509582,-59.98396918267438
26607.25059798811,-60.41901246171481
28183.82931264456,-60.8598692775864
29853.82618917962,-61.30599078316239
31622.77660168382,-61.75685798768897
33496.54391578279,-62.21197991795616
35481.33892335757,-62.67088881402514
37583.74042884444,-63.13315535165268
39810.71705534976,-63.59835664461074
42169.65034285826,-64.06611505651624
44668.35921509634,-64.5360464229135
47315.12589614809,-65.00781351545356
50118.72336272727,-65.48107348333561
53088.44442309887,-65.9555073723317
56234.13251903495,-66.43080631585472
59566.21435290109,-66.90666799099536
63095.73444801938,-67.38279364030345
66834.39175686151,-67.858889079064
70794.57843841385,-68.33466157538906
74989.42093324565,-68.80981174430136
79432.82347242822,-69.28404399328932
84139.51416451958,-69.75703284996651
89125.09381337464,-70.22845772949979
94406.08762859243,-70.69799034292613
100000.0000000001,-71.16527172603709
105925.372517729,-71.62992467991725
112201.8454301965,-72.09155722228141
118850.222743702,-72.54975241461491
125892.5411794169,-73.00406845666167
133352.1432163326,-73.45403069264891
141253.7544622756,-73.89914999039634
149623.5656094435,-74.33889778500424
158489.3192461116,-74.77272016777803
167880.4018122563,-75.20004891548997
177827.9410038925,-75.62027393953878
188364.9089489803,-76.0327785895706
199526.2314968882,-76.43692693259402
211348.903983665,-76.8320634598137
223872.1138568343,-77.21754407050837
237137.3705661659,-77.59271679246858
