Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,,Vov,,,gm/Id,,,gm/gds,,,fT,,,Id/W,,
0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u,0.18u,0.36u,1u
-0.490167626,-0.461155821,-0.407671716,2.76E+01,2.79E+01,2.79E+01,4.24E+01,7.73E+01,1.23E+02,11000,5560,4180,5.00E-06,3.07E-06,3.79E-06,-0.515143171,-0.457806699,-0.409827367,2.60E+01,2.64E+01,2.64E+01,8.93E+01,1.08E+02,1.48E+02,3.42E+03,3.54E+03,1.91E+03,1.35E-06,1.75E-06,1.66E-06
-0.465167626,-0.436155821,-0.382671716,2.76E+01,2.78E+01,2.79E+01,4.24E+01,7.73E+01,1.23E+02,22000,11200,8450,9.96E-06,6.16E-06,7.62E-06,-0.490143171,-0.432806699,-0.384827367,2.60E+01,2.63E+01,2.64E+01,8.93E+01,1.07E+02,1.48E+02,6.57E+03,6.85E+03,3.72E+03,2.58E-06,3.38E-06,3.21E-06
-0.440167626,-0.411155821,-0.357671716,2.76E+01,2.78E+01,2.78E+01,4.24E+01,7.73E+01,1.23E+02,44000,22600,17100,1.98E-05,1.24E-05,1.53E-05,-0.465143171,-0.407806699,-0.359827367,2.59E+01,2.63E+01,2.64E+01,8.91E+01,1.08E+02,1.48E+02,1.26E+04,1.33E+04,7.25E+03,4.93E-06,6.53E-06,6.22E-06
-0.415167626,-0.386155821,-0.332671716,2.75E+01,2.78E+01,2.78E+01,4.24E+01,7.73E+01,1.22E+02,87700,45400,34400,3.95E-05,2.48E-05,3.07E-05,-0.440143171,-0.382806699,-0.334827367,2.59E+01,2.63E+01,2.63E+01,8.91E+01,1.08E+02,1.48E+02,2.40E+04,2.58E+04,1.41E+04,9.44E-06,1.26E-05,1.20E-05
-0.390167626,-0.361155821,-0.307671716,2.75E+01,2.78E+01,2.77E+01,4.23E+01,7.72E+01,1.22E+02,175000,91200,69100,7.86E-05,4.96E-05,6.14E-05,-0.415143171,-0.357806699,-0.309827367,2.59E+01,2.62E+01,2.63E+01,8.90E+01,1.07E+02,1.47E+02,4.62E+04,4.98E+04,2.74E+04,1.81E-05,2.43E-05,2.32E-05
-0.365167626,-0.336155821,-0.282671716,2.75E+01,2.77E+01,2.76E+01,4.23E+01,7.72E+01,1.22E+02,348000,183000,138000,1.56E-04,9.93E-05,1.23E-04,-0.390143171,-0.332806699,-0.284827367,2.59E+01,2.62E+01,2.62E+01,8.90E+01,1.07E+02,1.47E+02,8.85E+04,9.60E+04,5.28E+04,3.45E-05,4.68E-05,4.47E-05
-0.340167626,-0.311155821,-0.257671716,2.74E+01,2.77E+01,2.75E+01,4.23E+01,7.71E+01,1.22E+02,692000,366000,276000,3.11E-04,1.99E-04,2.44E-04,-0.365143171,-0.307806699,-0.259827367,2.59E+01,2.62E+01,2.61E+01,8.88E+01,1.07E+02,1.47E+02,1.69E+05,1.86E+05,1.02E+05,6.59E-05,9.00E-05,8.58E-05
-0.315167626,-0.286155821,-0.232671716,2.74E+01,2.76E+01,2.73E+01,4.22E+01,7.70E+01,1.22E+02,1370000,730000,547000,6.17E-04,3.96E-04,4.84E-04,-0.340143171,-0.282806699,-0.234827367,2.58E+01,2.60E+01,2.58E+01,8.85E+01,1.07E+02,1.46E+02,3.22E+05,3.55E+05,1.94E+05,1.26E-04,1.73E-04,1.64E-04
-0.290167626,-0.261155821,-0.207671716,2.73E+01,2.74E+01,2.70E+01,4.21E+01,7.69E+01,1.22E+02,2720000,1450000,1070000,1.22E-03,7.87E-04,9.55E-04,-0.315143171,-0.257806699,-0.209827367,2.57E+01,2.59E+01,2.57E+01,8.85E+01,1.06E+02,1.46E+02,6.14E+05,6.78E+05,3.68E+05,2.40E-04,3.31E-04,3.13E-04
-0.265167626,-0.236155821,-0.182671716,2.72E+01,2.72E+01,2.67E+01,4.20E+01,7.67E+01,1.21E+02,5350000,2860000,2080000,2.41E-03,1.56E-03,1.87E-03,-0.290143171,-0.232806699,-0.184827367,2.56E+01,2.57E+01,2.53E+01,8.84E+01,1.06E+02,1.45E+02,1.17E+06,1.28E+06,6.88E+05,4.56E-04,6.30E-04,5.91E-04
