M0:vgs (L=1.80e-07) Y,M0:vgs (L=3.60e-07) Y,M0:vgs (L=1.00e-06) Y,M0:vth (L=1.80e-07) Y,M0:vth (L=3.60e-07) Y,M0:vth (L=1.00e-06) Y,M0:id (L=1.80e-07) Y,M0:id (L=3.60e-07) Y,M0:id (L=1.00e-06) Y,M0:gm (L=1.80e-07) Y,M0:gm (L=3.60e-07) Y,M0:gm (L=1.00e-06) Y,M0:gds (L=1.80e-07) Y,M0:gds (L=3.60e-07) Y,M0:gds (L=1.00e-06) Y,M0:cgg (L=1.80e-07) Y,M0:cgg (L=3.60e-07) Y,M0:cgg (L=1.00e-06) Y,M0:cgs (L=1.80e-07) Y,M0:cgs (L=3.60e-07) Y,M0:cgs (L=1.00e-06) Y,M0:cgd (L=1.80e-07) Y,M0:cgd (L=3.60e-07) Y,M0:cgd (L=1.00e-06) Y,M0:cdd (L=1.80e-07) Y,M0:cdd (L=3.60e-07) Y,M0:cdd (L=1.00e-06) Y,M0:css (L=1.80e-07) Y,M0:css (L=3.60e-07) Y,M0:css (L=1.00e-06) Y,M0:cjd (L=1.80e-07) Y,M0:cjd (L=3.60e-07) Y,M0:cjd (L=1.00e-06) Y,M0:cjs (L=1.80e-07) Y,M0:cjs (L=3.60e-07) Y,M0:cjs (L=1.00e-06) Y,M0:cgb (L=1.80e-07) Y,M0:cgb (L=3.60e-07) Y,M0:cgb (L=1.00e-06) Y
0,0,0,0.490167626,0.461155821,0.407671716,2.50E-11,1.54E-11,1.90E-11,6.89E-10,4.28E-10,5.29E-10,1.62E-11,5.53E-12,4.32E-12,9.95E-15,1.22E-14,2.01E-14,-3.96E-15,-3.99E-15,-4.10E-15,-4.00E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,0,0,0,0,0,0,-1.99E-15,-4.26E-15,-1.21E-14
0.025,0.025,0.025,0.490167626,0.461155821,0.407671716,4.98E-11,3.08E-11,3.81E-11,1.37E-09,8.58E-10,1.06E-09,3.24E-11,1.11E-11,8.66E-12,9.92E-15,1.22E-14,2.00E-14,-3.96E-15,-3.99E-15,-4.10E-15,-4.00E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,0,0,0,0,0,0,-1.96E-15,-4.20E-15,-1.19E-14
0.05,0.05,0.05,0.490167626,0.461155821,0.407671716,9.92E-11,6.18E-11,7.65E-11,2.73E-09,1.72E-09,2.13E-09,6.45E-11,2.23E-11,1.74E-11,9.90E-15,1.21E-14,1.99E-14,-3.96E-15,-3.99E-15,-4.09E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,0,0,0,0,0,0,-1.93E-15,-4.15E-15,-1.18E-14
0.075,0.075,0.075,0.490167626,0.461155821,0.407671716,1.98E-10,1.24E-10,1.53E-10,5.44E-09,3.45E-09,4.26E-09,1.28E-10,4.46E-11,3.48E-11,9.87E-15,1.21E-14,1.97E-14,-3.96E-15,-3.99E-15,-4.10E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,0,0,0,0,0,0,-1.91E-15,-4.10E-15,-1.17E-14
0.1,0.1,0.1,0.490167626,0.461155821,0.407671716,3.93E-10,2.48E-10,3.07E-10,1.08E-08,6.89E-09,8.51E-09,2.56E-10,8.93E-11,6.95E-11,9.85E-15,1.20E-14,1.96E-14,-3.96E-15,-3.99E-15,-4.10E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.03E-15,0,0,0,0,0,0,-1.89E-15,-4.05E-15,-1.15E-14
0.125,0.125,0.125,0.490167626,0.461155821,0.407671716,7.82E-10,4.97E-10,6.13E-10,2.15E-08,1.38E-08,1.69E-08,5.08E-10,1.78E-10,1.38E-10,9.83E-15,1.20E-14,1.95E-14,-3.96E-15,-3.99E-15,-4.10E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.03E-15,0,0,0,0,0,0,-1.86E-15,-4.00E-15,-1.14E-14
0.15,0.15,0.15,0.490167626,0.461155821,0.407671716,1.55E-09,9.93E-10,1.22E-09,4.27E-08,2.75E-08,3.35E-08,1.01E-09,3.56E-10,2.75E-10,9.81E-15,1.19E-14,1.93E-14,-3.96E-15,-3.99E-15,-4.11E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.04E-15,0,0,0,0,0,0,-1.84E-15,-3.95E-15,-1.13E-14
0.175,0.175,0.175,0.490167626,0.461155821,0.407671716,3.08E-09,1.98E-09,2.42E-09,8.44E-08,5.45E-08,6.61E-08,2.00E-09,7.08E-10,5.42E-10,9.79E-15,1.19E-14,1.92E-14,-3.96E-15,-3.99E-15,-4.14E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.05E-15,0,0,0,0,0,0,-1.82E-15,-3.91E-15,-1.11E-14
0.2,0.2,0.2,0.490167626,0.461155821,0.407671716,6.11E-09,3.94E-09,4.77E-09,1.67E-07,1.08E-07,1.29E-07,3.96E-09,1.40E-09,1.06E-09,9.77E-15,1.19E-14,1.92E-14,-3.96E-15,-4.00E-15,-4.19E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.03E-15,4.08E-15,0,0,0,0,0,0,-1.80E-15,-3.86E-15,-1.10E-14
0.225,0.225,0.225,0.490167626,0.461155821,0.407671716,1.21E-08,7.80E-09,9.35E-09,3.28E-07,2.12E-07,2.50E-07,7.80E-09,2.77E-09,2.06E-09,9.75E-15,1.18E-14,1.91E-14,-3.97E-15,-4.01E-15,-4.28E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.02E-15,4.03E-15,4.13E-15,0,0,0,0,0,0,-1.78E-15,-3.82E-15,-1.09E-14
0.25,0.25,0.25,0.490167626,0.461155821,0.407671716,2.37E-08,1.54E-08,1.82E-08,6.41E-07,4.15E-07,4.78E-07,1.53E-08,5.42E-09,3.96E-09,9.74E-15,1.18E-14,1.91E-14,-3.97E-15,-4.02E-15,-4.48E-15,-4.01E-15,-3.99E-15,-3.96E-15,4.02E-15,4.02E-15,4.02E-15,4.03E-15,4.04E-15,4.25E-15,0,0,0,0,0,0,-1.76E-15,-3.78E-15,-1.07E-14
