M0:cdd (L=1.80e-07) Y,M0:cdd (L=3.60e-07) Y,M0:cdd (L=1.00e-06) Y,M0:cgb (L=1.80e-07) Y,M0:cgb (L=3.60e-07) Y,M0:cgb (L=1.00e-06) Y,M0:cgd (L=1.80e-07) Y,M0:cgd (L=3.60e-07) Y,M0:cgd (L=1.00e-06) Y,M0:cgg (L=1.80e-07) Y,M0:cgg (L=3.60e-07) Y,M0:cgg (L=1.00e-06) Y,M0:cgs (L=1.80e-07) Y,M0:cgs (L=3.60e-07) Y,M0:cgs (L=1.00e-06) Y,M0:cjd (L=1.80e-07) Y,M0:cjd (L=3.60e-07) Y,M0:cjd (L=1.00e-06) Y,M0:cjs (L=1.80e-07) Y,M0:cjs (L=3.60e-07) Y,M0:cjs (L=1.00e-06) Y,M0:css (L=1.80e-07) Y,M0:css (L=3.60e-07) Y,M0:css (L=1.00e-06) Y,M0:gds (L=1.80e-07) Y,M0:gds (L=3.60e-07) Y,M0:gds (L=1.00e-06) Y,M0:gm (L=1.80e-07) Y,M0:gm (L=3.60e-07) Y,M0:gm (L=1.00e-06) Y,M0:id (L=1.80e-07) Y,M0:id (L=3.60e-07) Y,M0:id (L=1.00e-06) Y,M0:vgs (L=1.80e-07) Y,M0:vgs (L=3.60e-07) Y,M0:vgs (L=1.00e-06) Y,M0:vth (L=1.80e-07) Y,M0:vth (L=3.60e-07) Y,M0:vth (L=1.00e-06) Y
3.25E-15,3.25E-15,3.25E-15,-1.64E-15,-3.86E-15,-1.16E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.14E-15,1.04E-14,1.83E-14,-3.25E-15,-3.28E-15,-3.45E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.25E-15,1.96E-12,2.14E-12,1.48E-12,1.75E-10,2.31E-10,2.19E-10,-6.74E-12,-8.76E-12,-8.29E-12,0,0,0,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.62E-15,-3.82E-15,-1.15E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.12E-15,1.03E-14,1.81E-14,-3.25E-15,-3.28E-15,-3.45E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.25E-15,3.75E-12,4.14E-12,2.87E-12,3.35E-10,4.45E-10,4.24E-10,-1.29E-11,-1.69E-11,-1.61E-11,-0.025,-0.025,-0.025,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.59E-15,-3.77E-15,-1.13E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.10E-15,1.03E-14,1.80E-14,-3.25E-15,-3.28E-15,-3.44E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.25E-15,7.18E-12,7.99E-12,5.55E-12,6.40E-10,8.59E-10,8.20E-10,-2.47E-11,-3.27E-11,-3.11E-11,-0.05,-0.05,-0.05,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.58E-15,-3.72E-15,-1.12E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.08E-15,1.02E-14,1.79E-14,-3.25E-15,-3.28E-15,-3.44E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.26E-15,1.37E-11,1.54E-11,1.07E-11,1.22E-09,1.66E-09,1.58E-09,-4.72E-11,-6.30E-11,-6.01E-11,-0.075,-0.075,-0.075,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.56E-15,-3.68E-15,-1.11E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.06E-15,1.02E-14,1.77E-14,-3.25E-15,-3.28E-15,-3.45E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.26E-15,2.63E-11,2.97E-11,2.07E-11,2.34E-09,3.19E-09,3.05E-09,-9.03E-11,-1.22E-10,-1.16E-10,-0.1,-0.1,-0.1,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.54E-15,-3.64E-15,-1.09E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.04E-15,1.02E-14,1.76E-14,-3.25E-15,-3.28E-15,-3.45E-15,0,0,0,0,0,0,3.25E-15,3.25E-15,3.26E-15,5.02E-11,5.72E-11,3.97E-11,4.47E-09,6.13E-09,5.85E-09,-1.73E-10,-2.34E-10,-2.23E-10,-0.125,-0.125,-0.125,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.52E-15,-3.60E-15,-1.08E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.02E-15,1.01E-14,1.75E-14,-3.25E-15,-3.28E-15,-3.47E-15,0,0,0,0,0,0,3.25E-15,3.26E-15,3.27E-15,9.59E-11,1.10E-10,7.61E-11,8.52E-09,1.18E-08,1.12E-08,-3.30E-10,-4.50E-10,-4.29E-10,-0.15,-0.15,-0.15,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.50E-15,-3.56E-15,-1.07E-14,-3.25E-15,-3.24E-15,-3.22E-15,8.01E-15,1.01E-14,1.74E-14,-3.25E-15,-3.28E-15,-3.49E-15,0,0,0,0,0,0,3.25E-15,3.26E-15,3.29E-15,1.83E-10,2.11E-10,1.45E-10,1.62E-08,2.25E-08,2.12E-08,-6.29E-10,-8.64E-10,-8.21E-10,-0.175,-0.175,-0.175,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.49E-15,-3.52E-15,-1.06E-14,-3.25E-15,-3.24E-15,-3.22E-15,7.99E-15,1.01E-14,1.74E-14,-3.26E-15,-3.29E-15,-3.55E-15,0,0,0,0,0,0,3.25E-15,3.26E-15,3.32E-15,3.48E-10,4.02E-10,2.75E-10,3.08E-08,4.28E-08,4.01E-08,-1.20E-09,-1.65E-09,-1.56E-09,-0.2,-0.2,-0.2,-0.515143171,-0.457806699,-0.409827367
3.25E-15,3.25E-15,3.25E-15,-1.47E-15,-3.48E-15,-1.04E-14,-3.25E-15,-3.24E-15,-3.22E-15,7.97E-15,1.00E-14,1.73E-14,-3.26E-15,-3.30E-15,-3.66E-15,0,0,0,0,0,0,3.25E-15,3.27E-15,3.39E-15,6.61E-10,7.64E-10,5.18E-10,5.84E-08,8.09E-08,7.49E-08,-2.28E-09,-3.15E-09,-2.96E-09,-0.225,-0.225,-0.225,-0.515143171,-0.457806699,-0.409827367
