"dB20(v(""/net6"" ?result ""ac"")) X","dB20(v(""/net6"" ?result ""ac"")) Y","phase(v(""/net6"" ?result ""ac"")) Y"
10000,-9.170886254,0.000312194
10023.05238,-9.170886254,0.000312914
10046.1579,-9.170886254,0.000313635
10069.31669,-9.170886254,0.000314358
10092.52886,-9.170886254,0.000315083
10115.79454,-9.170886254,0.000315809
10139.11386,-9.170886254,0.000316537
10162.48693,-9.170886254,0.000317267
10185.91388,-9.170886254,0.000317998
10209.39484,-9.170886254,0.000318732
10232.92992,-9.170886254,0.000319466
10256.51926,-9.170886254,0.000320203
10280.16298,-9.170886254,0.000320941
10303.8612,-9.170886254,0.000321681
10327.61406,-9.170886254,0.000322422
10351.42167,-9.170886254,0.000323166
10375.28416,-9.170886254,0.000323911
10399.20166,-9.170886254,0.000324657
10423.17429,-9.170886254,0.000325406
10447.20219,-9.170886254,0.000326156
10471.28548,-9.170886254,0.000326908
10495.42429,-9.170886254,0.000327661
10519.61874,-9.170886254,0.000328417
10543.86896,-9.170886254,0.000329174
10568.17509,-9.170886254,0.000329932
10592.53725,-9.170886254,0.000330693
10616.95557,-9.170886254,0.000331455
10641.43018,-9.170886254,0.000332219
10665.96121,-9.170886254,0.000332985
10690.54879,-9.170886254,0.000333753
10715.19305,-9.170886254,0.000334522
10739.89412,-9.170886254,0.000335293
10764.65214,-9.170886254,0.000336066
10789.46722,-9.170886254,0.000336841
10814.33951,-9.170886254,0.000337618
10839.26914,-9.170886254,0.000338396
10864.25624,-9.170886254,0.000339176
10889.30093,-9.170886254,0.000339958
10914.40336,-9.170886254,0.000340742
10939.56366,-9.170886254,0.000341527
10964.78196,-9.170886254,0.000342314
10990.05839,-9.170886254,0.000343103
11015.3931,-9.170886254,0.000343894
11040.7862,-9.170886254,0.000344687
11066.23784,-9.170886254,0.000345482
11091.74815,-9.170886254,0.000346278
11117.31727,-9.170886254,0.000347076
11142.94534,-9.170886254,0.000347876
11168.63248,-9.170886254,0.000348678
11194.37883,-9.170886254,0.000349482
11220.18454,-9.170886254,0.000350288
11246.04974,-9.170886254,0.000351095
11271.97456,-9.170886254,0.000351905
11297.95915,-9.170886254,0.000352716
11324.00363,-9.170886254,0.000353529
11350.10816,-9.170886254,0.000354344
11376.27286,-9.170886254,0.000355161
11402.49788,-9.170886254,0.00035598
11428.78335,-9.170886254,0.0003568
11455.12941,-9.170886254,0.000357623
11481.53621,-9.170886254,0.000358447
11508.00389,-9.170886254,0.000359273
11534.53258,-9.170886254,0.000360102
11561.12242,-9.170886254,0.000360932
11587.77356,-9.170886254,0.000361764
11614.48614,-9.170886254,0.000362598
11641.26029,-9.170886254,0.000363434
11668.09617,-9.170886254,0.000364271
11694.99391,-9.170886254,0.000365111
11721.95366,-9.170886254,0.000365953
11748.97555,-9.170886254,0.000366796
11776.05974,-9.170886254,0.000367642
11803.20636,-9.170886254,0.000368489
11830.41556,-9.170886254,0.000369339
11857.68748,-9.170886254,0.00037019
11885.02227,-9.170886254,0.000371044
11912.42008,-9.170886254,0.000371899
11939.88104,-9.170886254,0.000372756
11967.40531,-9.170886254,0.000373616
11994.99303,-9.170886254,0.000374477
